scenario_id,num_obstacles,planner,collision_rate,completion_rate,expected_cost,runtime_s,min_obstacle_dist_m,converged,collision_free,error
USA_US101-1_1_T-1,2,worst_case_cmaes,0.0,1,1219.814969,12.979,7.4094,1,1,
USA_US101-1_1_T-1,2,stochastic_sqp,0.0,0,3.985841,73.5835,3.1232,0,1,
USA_US101-1_1_T-1,2,stochastic_cmaes,0.0,1,209.651672,11.2387,7.3606,1,1,
USA_US101-2_1_T-1,40,plan_on_mean_sqp,0.25,0,0.040974,229.2311,4.8168,0,1,
USA_US101-2_1_T-1,40,plan_on_mean_cmaes,0.5,1,7236.246904,20.5712,9.8608,1,1,
USA_US101-2_1_T-1,40,worst_case_sqp,0.25,0,42.475873,1476.3257,2.4653,0,0,
USA_US101-2_1_T-1,40,worst_case_cmaes,0.25,0,11330.839758,103.3214,2.2866,1,0,
USA_US101-2_1_T-1,40,stochastic_sqp,0.25,0,0.09015,156.1767,0.8417,0,0,
USA_US101-2_1_T-1,40,stochastic_cmaes,0.0,1,12807.85003,31.4382,4.1989,1,1,
USA_US101-3_1_T-1,34,plan_on_mean_sqp,0.25,0,0.035138,155.3205,3.6694,0,1,
USA_US101-3_1_T-1,34,plan_on_mean_cmaes,0.5,1,2488.529439,17.9696,3.5445,1,1,
USA_US101-3_1_T-1,34,worst_case_sqp,0.5,0,21.236566,822.7421,2.4143,0,0,
USA_US101-3_1_T-1,34,worst_case_cmaes,0.0,1,4122.207265,69.9889,3.6864,1,1,
USA_US101-3_1_T-1,34,stochastic_sqp,0.25,0,1.34858,172.2807,0.3928,0,0,
USA_US101-3_1_T-1,34,stochastic_cmaes,0.0,1,4122.207265,24.3357,3.6864,1,1,
USA_US101-4_1_T-1,22,plan_on_mean_sqp,1.0,0,79.59478,210.2803,2.9874,0,0,
USA_US101-4_1_T-1,22,plan_on_mean_cmaes,1.0,1,4166.555818,18.1197,3.2598,1,1,
USA_US101-4_1_T-1,22,worst_case_sqp,0.75,0,865.048609,879.8625,1.5652,0,0,
USA_US101-4_1_T-1,22,worst_case_cmaes,0.25,0,8160.881617,60.5916,2.7237,1,0,
USA_US101-4_1_T-1,22,stochastic_sqp,0.0,0,1609.467518,223.1568,3.1454,0,1,
USA_US101-4_1_T-1,22,stochastic_cmaes,0.25,0,7267.130582,22.3945,2.8031,1,0,
USA_US101-5_1_T-1,25,plan_on_mean_sqp,0.75,0,16.783852,205.5133,3.0,0,1,
USA_US101-5_1_T-1,25,plan_on_mean_cmaes,0.5,1,1082.296998,17.6749,3.191,1,1,
USA_US101-5_1_T-1,25,worst_case_sqp,0.5,0,204.021927,973.7027,2.4559,0,0,
USA_US101-5_1_T-1,25,worst_case_cmaes,0.0,1,6965.08883,65.6774,3.3974,1,1,
USA_US101-5_1_T-1,25,stochastic_sqp,0.25,0,90.678755,92.3586,0.1546,0,0,
USA_US101-5_1_T-1,25,stochastic_cmaes,0.5,0,7305.995263,22.7504,2.6545,1,0,
USA_US101-6_1_T-1,29,plan_on_mean_sqp,0.5,0,1.400473,148.3553,2.9989,0,1,
USA_US101-6_1_T-1,29,plan_on_mean_cmaes,0.75,1,4815.670069,16.8084,2.9916,1,1,
USA_US101-6_1_T-1,29,worst_case_sqp,1.0,0,97.036365,717.3943,0.4552,0,0,
USA_US101-6_1_T-1,29,worst_case_cmaes,0.0,1,8374.462636,61.3917,4.0259,1,1,
USA_US101-6_1_T-1,29,stochastic_sqp,0.0,0,159.100223,161.3281,3.0939,0,1,
USA_US101-6_1_T-1,29,stochastic_cmaes,0.25,0,7448.437891,22.3645,2.0535,1,0,
USA_US101-8_1_T-1,27,plan_on_mean_sqp,0.5,0,20.769173,120.0916,2.6057,0,0,
USA_US101-8_1_T-1,27,plan_on_mean_cmaes,1.0,1,2429.109874,13.9276,5.5411,1,1,
USA_US101-8_1_T-1,27,worst_case_sqp,0.25,0,19.602895,585.9175,2.9916,0,1,
USA_US101-8_1_T-1,27,worst_case_cmaes,0.0,1,7113.171293,52.4409,3.9424,1,1,
USA_US101-8_1_T-1,27,stochastic_sqp,0.0,1,294.40918,90.6958,4.4747,1,1,
USA_US101-8_1_T-1,27,stochastic_cmaes,0.25,0,3648.707851,18.9871,1.7684,1,0,
USA_US101-9_1_T-1,30,plan_on_mean_sqp,0.25,0,0.875491,153.5971,3.0001,0,1,
USA_US101-9_1_T-1,30,plan_on_mean_cmaes,0.25,1,3854.068866,17.5318,8.0344,1,1,
USA_US101-9_1_T-1,30,worst_case_sqp,0.25,0,15.993342,738.8954,2.8611,0,0,
USA_US101-9_1_T-1,30,worst_case_cmaes,0.0,1,4239.493609,63.9012,3.683,1,1,
USA_US101-9_1_T-1,30,stochastic_sqp,0.0,1,94383.469216,119.9958,4.7753,1,1,
USA_US101-9_1_T-1,30,stochastic_cmaes,0.0,1,4239.493609,23.1798,3.683,1,1,
